Claim_topic_id,Evidence_topic_id,Claim_text,Label,Evidence Label,Evidence_text,Article_topic_id,Old Reason,Reason
1,E_1,New Zealand has a carbon trading system,T,T,"A number of other countries have, however, also implemented a carbon trading system  at a national or sub-national level, or have one in development  including Canada, China, Japan, New Zealand, South Korea, Switzerland and the United States, according to the European Commission",Emission trading scheme_9385,New Zealand is listed as country with a carbon trading system.,New Zealand has an existing emissions trade scheme
1,E_2,New Zealand has a carbon trading system,T,N,"As of July, 46 countries are pricing emissions through carbon taxes or emissions trading schemes (ETS), according to the International Monetary Fund.",Emission trading scheme_9389,States that 46 countries have an ets which is a from of carbon trading scheme but does not catagorically list New Zealand.,
1,E_3,New Zealand has a carbon trading system,T,T,NZ's agricultural emissions aren't currently captured under the ETS (unlike other sources like industrial processes).,Emission trading scheme_9562,New Zealand has an ETS system which is supported by surrounding sentances and can be gain from infrence.,
1,E_4,New Zealand has a carbon trading system,T,T,The number of emission units released for auction is designed to meet New Zealand's international obligations.,Emission trading scheme_9573,realeasing emmision units is a key part of emmsion tradding schemes.,
1,E_5,New Zealand has a carbon trading system,T,T,"With many New Zealand farms having been converted to forestry due to rising carbon prices in recent years, feedback last week closed on a proposal to change settings in the Emissions Trading Scheme, where permanent plantings of exotic forests, like pine forests, would be excluded from the scheme from next year.",Emission trading scheme_9589,New Zealand farms have to obey rules set out in New Zealands emmision trading scheme,
1,E_6,New Zealand has a carbon trading system,T,T,"China, South Korea, Canada, Japan, New Zealand, Switzerland and the US already have a number of national or regional systems, however the international carbon market is said to develop through a bottom-up approach, whereby the EU ETS will be linked with other international systems, with a common aim to reduce the amount of emissions.",Emission trading scheme_9751,New Zealand has a regional or national system for ETS,
2,E_1,New Zealand wants to create a carbon trading system,F,F,The Emissions Trading Scheme is one of the most important drivers of the changes needed to have any hope of avoiding the catastrophic impacts of climate change. Photo: PHOTO NZSince it was launched nearly 15 years ago it has been under constant reform - and the government is working on yet more changes right now.,Emission trading scheme_9417,New Zealand has an ETS system which is a form of carbon trading,New Zealand has an ETS system which is a form of carbon trading
2,E_2,New Zealand wants to create a carbon trading system,F,F,"The ETS covers about half of all emissions in Aotearoa including almost all from fossil fuels, industrial processes and waste.",Emission trading scheme_9417,New Zealand has an ETS system which is a form of carbon trading,
2,E_3,New Zealand wants to create a carbon trading system,F,F,"Carbon prices hit record highs in many jurisdictions, including the European Union, California, New Zealand, the Republic of Korea, Switzerland and Canada.",Emission trading scheme_9469,New Zealand carbon prices are rising implying a carbon trading system,
2,E_4,New Zealand wants to create a carbon trading system,F,F,"The report, which presents the latest carbon pricing developments around the world, finds that there are 68 direct carbon pricing instruments operating today: 36 carbon taxes and 32 Emissions Trading Systems (ETSs).",Emission trading scheme_9469,Paired with other evidence in report states that New Zealand is one of the 68 countries with a carbon market,
2,E_5,New Zealand wants to create a carbon trading system,F,F,NZ's agricultural emissions aren't currently captured under the ETS (unlike other sources like industrial processes).,Emission trading scheme_9562,New Zealand has an ETS system which is supported by surrounding sentances and can be gain from infrence.,
2,E_6,New Zealand wants to create a carbon trading system,F,F,"As for New Zealand, 44.1% of all greenhouse gas emissions are now subject to a positive Net Effective Carbon Rate' which has not changed since 2018.",Emission trading scheme_9402,There is a carbon rate but this isn't part of a carbon tradding system.,
3,E_1,Peter Liese is a german lawmaker,T,T,"We agreed to continue to support the steel industry by free allowances, Peter Liese, a German lawmaker and the Parliament's lead negotiator on the Emissions Trading Scheme (ETS), said in a statement after talks with EU member states and the European Commission held on Monday (10 October)",Emission trading scheme_9386,The evidence lists Peter Liese as a german lawmaker and lead negotiator.,Peter Liese is a german lawmaker 
3,E_2,Peter Liese is a german lawmaker,T,T,"Peter Liese, a German Christian Democrat who steered the original law through the European Parliament and led the debate on the stop the clock one-year suspension, said he was disappointed with the Montreal deal.",Emission trading scheme_9663,Peter Liese is responsible for pushing a law through parliament meaning he's a likely lawmaker,
3,E_3,Peter Liese is a german lawmaker,T,N,"Members of the European Parliament, which together with the EU's 28 member states would have to approve the Commission proposal for it to become law, have also raised objections, saying the Montreal agreement is empty.",Emission trading scheme_9663,involves germany and politics but not Peter.,
3,E_4,Peter Liese is a german lawmaker,T,T,"According to the German lawmaker, the Commission's proposal would have entailed a much bigger step for the steel industry than for other industries as it would have tightened the benchmark against which free allowances for the steel industry are calculated.",Emission trading scheme_9386,Discuss what the german lawmaker has aimed to do.,
3,E_5,Peter Liese is a german lawmaker,T,T,"German lawmaker Peter Liese, who is drafting the European Parliament's position on the reforms, on Wednesday proposed an amendment that would lower the bar for policymakers to release more permits at times of rapid price rises.",Emission trading scheme_9464,States that Peter Liese is a german lawmaker,
3,E_6,Peter Liese is a german lawmaker,T,N,The European Parliament's lead lawmaker on reforms to the EU carbon market on Wednesday (16 February) proposed rules to make it easier for policymakers to intervene in the scheme if prices rise too fast.,Emission trading scheme_9464,Discuses a lawmaker but not peter liese,
