Claim_topic_id|Evidence_topic_id|Claim_text|Label|Evidence Label|Evidence_text|Article_topic_id|Reason
Claims_Climate_1|Evidence_Climate_1|New Zealand has a carbon trading system|T|T|A number of other countries have, however, also implemented a carbon trading system  at a national or sub-national level, or have one in development  including Canada, China, Japan, New Zealand, South Korea, Switzerland and the United States, according to the European Commission|Emission trading scheme_9385|New Zealand has an existing emissions trade scheme
Claims_Climate_1|Evidence_Climate_2|New Zealand has a carbon trading system|T|N|As of July, 46 countries are pricing emissions through carbon taxes or emissions trading schemes (ETS), according to the International Monetary Fund.|Emission trading scheme_9389|
Claims_Climate_1|Evidence_Climate_3|New Zealand has a carbon trading system|T|T|NZ's agricultural emissions aren't currently captured under the ETS (unlike other sources like industrial processes).|Emission trading scheme_9562|
Claims_Climate_1|Evidence_Climate_4|New Zealand has a carbon trading system|T|T|The number of emission units released for auction is designed to meet New Zealand's international obligations.|Emission trading scheme_9573|
Claims_Climate_1|Evidence_Climate_5|New Zealand has a carbon trading system|T|T|With many New Zealand farms having been converted to forestry due to rising carbon prices in recent years, feedback last week closed on a proposal to change settings in the Emissions Trading Scheme, where permanent plantings of exotic forests, like pine forests, would be excluded from the scheme from next year.|Emission trading scheme_9589|
Claims_Climate_1|Evidence_Climate_6|New Zealand has a carbon trading system|T|T|China, South Korea, Canada, Japan, New Zealand, Switzerland and the US already have a number of national or regional systems, however the international carbon market is said to develop through a bottom-up approach, whereby the EU ETS will be linked with other international systems, with a common aim to reduce the amount of emissions.|Emission trading scheme_9751|
Claims_Climate_2|Evidence_Climate_7|New Zealand wants to create a carbon trading system|F|F|The Emissions Trading Scheme is one of the most important drivers of the changes needed to have any hope of avoiding the catastrophic impacts of climate change. Photo: PHOTO NZSince it was launched nearly 15 years ago it has been under constant reform - and the government is working on yet more changes right now.|Emission trading scheme_9417|New Zealand has an ETS system which is a form of carbon trading
Claims_Climate_2|Evidence_Climate_8|New Zealand wants to create a carbon trading system|F|F|The ETS covers about half of all emissions in Aotearoa including almost all from fossil fuels, industrial processes and waste.|Emission trading scheme_9417|
Claims_Climate_2|Evidence_Climate_9|New Zealand wants to create a carbon trading system|F|F|Carbon prices hit record highs in many jurisdictions, including the European Union, California, New Zealand, the Republic of Korea, Switzerland and Canada.|Emission trading scheme_9469|
Claims_Climate_2|Evidence_Climate_10|New Zealand wants to create a carbon trading system|F|F|The report, which presents the latest carbon pricing developments around the world, finds that there are 68 direct carbon pricing instruments operating today: 36 carbon taxes and 32 Emissions Trading Systems (ETSs).|Emission trading scheme_9469|
